Name of repository,URL,Country ,Description,Scope,Main focus on OER? (Y/N),Private/public,Organizer,Organizer's country ,Organizer Type,Link to Organizer,Associated administrations ,Creation date,no. Of USERS,no. Of OER downloaded (year),no. Of page visitors (month),number of OERs,Types of OERS,Who produces the OER?,Who can access/download the OER?,Open / Closed to external contributions,Languages,Multilingual repository,Subjects (if limited),Education level,Inclusion of Metadata ,Users evaluation tools,Specification Creative Commons Licences
A+ Click Math Challenge ,http://www.aplusclick.com/about.htm,International,"A+ Click is a not-for-profit project that features a collection of illustrated challenging math problems for students in grades one through twelve. The purpose of this project is to help students become problem solvers. The website has a graduated set of over 4700 problems, starting from the very simple to the extremely difficult. The tests also include hundreds of practical problems and brainteasers.",Subject Specific Repository,Y,Private,A+ Click team,International,Private,https://about.me/igor.kokcharov,,2010,"more than 250,000",,,"less than 100,000",Others,Staff/Experts,Anyone,Open,"English, Russian, French",yes,Maths,Primary & Secondary Education,,Comments,YES
Agrega,http://agrega.educacion.es/,Spain,"Agrega 2 is an initiative developed by the Ministry of Education, Culture and Sport, Red.es and Spain's regional governments. The federation of educational digital object repositories Agrega is a platform with nodes in all regional government education departments. The educational content which can be found therein is organised around the curriculum covering pre-university education and is prepared for downloading and direct use by the teaching staff and the students.",General OER Repository,Y,Public,"Ministry of Education, Culture and Sport",Spain,National Government,http://www.mecd.gob.es/portada-mecd/,Red.es and Spain's regional governments,2006,"10,000-100,000",,,"less than 100,000","Multimedia, Others",Staff/Experts,Registered Users,Open,"Spanish, Catalan, Galaician, Basque, French, English",Yes,Pre-university curriculum,Primary & Secondary Education,,Rating,YES
ALEXANDRIA,http://alexandria.xtec.cat/,Spain,Digital repository of resources created by teachers of Catalan schools.,General OER Repository,Y,Public,Departament d'Ensenyament de la Generalitat de Catalunya. XTEC,Spain,Regional Government,http://www.xtec.cat/web/guest/home,,2010,"10,000-100,000",,,"less than 100,000","Courses, Others",Staff/Experts,Registered Users,Closed,Catalan,yes,,Primary & Secondary Education,RSS,,YES
Ariadne Foundation,http://www.ariadne-eu.org/   ,Paneuropean,"ARIADNE Foundation is a European assotiation that maintains the world's largest repository of online learning resources with more than 600,000 resources and 800,000 additional available through federated searches.",General OER Repository,Y,Public,Ariadne Foundation,Belgium,Association,http://www.ariadne-eu.org/,ARIADNE is a member of the Global Learning Objects Brokering Exchange (GLOBE) Alliance,,,,,"more than 500,000",,,,Open,,Yes,,,,,YES
ARKive ,http://www.arkive.org/,International,"ARKive is a not-for-profit initiative of the charity Wildscreen. With the help of the world's best wildlife filmmakers and photographers, conservationists and scientists, we are creating an awe-inspiring record of life on Earth. Freely accessible to everyone and preserved for the benefit of future generations, ARKive is a truly invaluable resource for conservation, education and public awareness. Educate your pupils using ARKive's many thousands of videos, images and fact files in a wide range of science, ICT, art and English projects. Use the ARKive multimedia materials to engage your class in key biology topics, such as variation and adaptation, habitats or life cycles, or use them as creative inspiration for art and design projects. ARKive's science teaching resources cover many key science subjects, including evolution, classification, adaptation, food chains and conservation. All our photos, video clips and authenticated fact files are free and easy to use in your classroom activities and presentations.",Subject Specific Repository,Y,Private,Wildscreen,United Kingdom,Foundation,http://www.wildscreen.org/,,2003,,,,"less than 100,000","Multimedia, Others ",,Anyone,,English,no,Life on Earth,Primary & Secondary Education,,,
AUNEGE,http://www.aunege.org,France,"One of the 7 ""Digital Thematic Universities"" (DTU) created under the impulsion of the French Ministry of HE from 2003-2004 to 2007. Their are networks of HE institutions, thematically organized and their mission are the production, the indexing, referencing and promotion of educational contents. The y also provided opensource software and services around the ressources.  ",Subject Specific Repository,,Public,AUNEGE,France,association,http://www.aunege.org,"founded by the French Ministry of education, HE and Research and by the institutions of the DTU",,,,,,,Staff/Experts,Anyone,,French,,,,SupLOMfr (french declination of the LOM for HE),,YES
Banco de iten  ,http://bi.gave.min-edu.pt/  ,Portugal,"The repository ""Banco de iten "" has a large number of items of various disciplines for primary and secondary education. Teachers can create content and share content (exams, homework etc)",General OER Repository,Y,Public ,Government of Portugal,Portugal,National Government,http://www.portugal.gov.pt/pt.aspx,Ministry of Education and Science,,,,,,,Staff/Experts,,Closed,Portuguese,NO,Primary and secondary education subjects,Primary & Secondary Education,,,YES
Bundeszentrale für politische Bildung – „Lernen“ ,https://www.bpb.de/lernen/,Germany,,,,Public,Federal Agency for Civic Education,Germany,Public,https://www.bpb.de/die-bpb/138852/federal-agency-for-civic-education,,,,,,,,,,,German,,,,,,
Canal-U,https://www.canal-u.tv,France,French national videos library  for HE education,General OER Repository,,Public,Canal-U,France,Foundation,https://www.canal-u.tv,fouded by the franch ministry of HE,,,,,,,Staff/Experts,Anyone,,French,,,,SupLOMfr (french declination of the LOM for HE),,YES
CNDP (Centre National de Documentation Pédagogique),http://www.reseau-canope.fr/,France,"The CNDP (Centre National de Documentation Pédagogique) is a public institution under the authority of the French Ministry of Education. The CNDP leads 31 regional and 85 local centres within the SCEREN network. The CNDP works to implement the Ministry's education policy by making available educational and professional resources (tools, advice, training) to all those involved in education, by promoting the use of technology in schools and by contributing to the development of arts and culture in schools.",General OER Repository,N,Public,French Ministry of Education,France,National Government,http://www.education.gouv.fr/,,,,,,,,,,,,,,,,,
